year,Date,S&P 100,S&P 500,S&P 600,Dow Jones,Nasdaq,Russell 2000,Barron's 400,Wilshire 5000
149,13-Nov-2015,0.9751805198545175,0.963719512195122,0.9540648512824856,0.9628655641744178,0.9574053062683598,0.9556574286309647,0.9504778928936233,0.9633697364052606
150,20-Nov-2015,1.0204418680958112,1.032688429294527,1.0296515499001258,1.0335495475853047,1.0359261995016111,1.0249443984126294,1.0274040952618548,1.031054228144109
151,27-Nov-2015,0.9984351386402855,1.000449939449638,1.0195576887151705,0.9985794283040494,1.0044271016979698,1.0231715100199974,1.0161383715934773,1.0026609326578275
152,4-Dec-2015,1.0024046461198244,1.0007559410748716,0.9870754052149402,1.002760908369193,1.0028766343183448,0.9842146409620919,0.9887318247826327,0.9983002411976778
153,11-Dec-2015,0.9622176767298157,0.9620785106779685,0.9510944840289578,0.967367095799274,0.9593953643040913,0.9494760858543179,0.9517736298059046,0.9608334023199983
154,18-Dec-2015,0.9972843326024774,0.9966109612049474,0.9948955080470813,0.9920846604240551,0.9978939772614407,0.9976949297354065,0.9932804625542055,0.9967738953193165
155,24-Dec-2015,1.0254338485575583,1.027643289870609,1.0310406229250921,1.0247318074209433,1.0254738903288185,1.030097589695099,1.0297148475909539,1.0278726592706044
156,31-Dec-2015,0.9919354838709676,0.9917272766971215,0.9831540431759971,0.9927564511966327,0.9918629134652144,0.9836589421178428,0.9863447986096523,0.9911460902200225
157,8-Jan-2016,0.9387226665788926,0.9403553920369482,0.9280674070324827,0.9381016847603707,0.9273516648327179,0.9210398894259126,0.9268287960345428,0.9393355707545125
158,15-Jan-2016,0.9816615629163842,0.978304188800383,0.9762760257932053,0.9780765854359814,0.9665757177036068,0.9632192697380998,0.9693734723295798,0.9753780420971443
159,22-Jan-2016,1.0136327376204026,1.014130498369967,1.0104168378160787,1.0065942877443697,1.0228944706600542,1.0128408684952168,1.013986767526562,1.0131201493321569
160,29-Jan-2016,1.0199685202151902,1.0174838743510408,1.0243589118168366,1.0231639959213372,1.004959509320044,1.0144220406403701,1.0174282678002124,1.0173926260811337
161,5-Feb-2016,0.967098141281065,0.9689780645693316,0.9606476704500356,0.9841294036911753,0.9456409367244987,0.9519403504027506,0.9621057029454774,0.9672791933565071
162,12-Feb-2016,0.9953796872953309,0.9918778755884152,0.9890276951550003,0.9857370917687599,0.994125790141962,0.9861711410076905,0.9899904464130623,0.9906168744935215
163,19-Feb-2016,1.0255536015504432,1.0284215832430634,1.0363563456526097,1.0261771746806028,1.038482908396753,1.0391156287616128,1.0392806228753153,1.0299151354509
164,26-Feb-2016,1.0113035870516187,1.0157838751055908,1.027632682014574,1.0151281205027578,1.0191011959337808,1.0269007237552104,1.0286793567720423,1.0173892674464218
165,4-Mar-2016,1.0241308510392875,1.0266625599958934,1.0421856860468766,1.0220433089723118,1.0275679832348321,1.043145837752367,1.0331521181659657,1.0298336692256145
166,11-Mar-2016,1.0097875791228346,1.0111000555002776,1.0071502762264606,1.012144575366163,1.0066673450610766,1.0052036638229829,1.007049105458589,1.0100289225437193
167,18-Mar-2016,1.0126373319948692,1.013544721316988,1.0145427913789495,1.022598210338395,1.0099358319627163,1.0129739968369562,1.01291505639246,1.0140393017321372
168,24-Mar-2016,0.995792395470767,0.9933449779954918,0.9815701468790053,0.995081892707203,0.9953812309071763,0.9799123149400455,0.9833758346148604,0.992268973566953
169,1-Apr-2016,1.016890471871336,1.018094835800662,1.0327489944167618,1.015815498411999,1.029546454383576,1.0353298627193064,1.0280697586950927,1.0196911738429586
170,8-Apr-2016,0.9887961885286023,0.9878520634124218,0.9772126144455747,0.9878720265276587,0.9870079397054454,0.9817747476916469,0.9824588427842496,0.9876760762412953
171,15-Apr-2016,1.0164351011517772,1.016179917952725,1.030055619999405,1.0182340973638218,1.01804485547417,1.0306294483783072,1.025184227030417,1.0177138194212938
172,22-Apr-2016,1.0047404136497937,1.0052145160592676,1.0136725235695827,1.005938831543694,0.9935219573044537,1.013944399250168,1.014356994016326,1.0060264592489983
173,29-Apr-2016,0.9856411913610168,0.9874353359661119,0.9892607890613871,0.9872187738665555,0.97332575113682,0.9861863276037987,0.9811911044101017,0.98830995028375
174,6-May-2016,0.996808812922122,0.9960490001452572,0.990454388389772,0.998142755226279,0.9917911947999732,0.985736392978733,0.9849026161115593,0.9954111987300671
